NAME,TICKER,YH_TICKER,Limited Supply,Stable coin
Bitcoin,BTC,BTC-USD,YES,
Ethereum,ETH,ETH-USD,NO,
Binance Coin,BNB,BNB-USD,YES,
Cardano,ADA,ADA-USD,YES,
Tether,USDT,USDT-USD,NO,YES
Solana,SOL,SOL1-USD,NO,
XRP,XRP,XRP-USD,YES,
USD Coin,USDC,USDC-USD,NO,YES
Dogecoin,DOGE,DOGE-USD,NO,
Polkadot,DOT,DOT1-USD,NO,
Terra,LUNA,LUNA1-USD,NO,
Uniswap,UNI,UNI3-USD,YES,
Avalanche,AVAX,AVAX-USD,YES,
Binance USD,BUSD,NULL,YES,
Chainlink,LINK,LINK-USD,YES,
Algorand,ALGO,ALGO-USD,YES,
Litecoin,LTC,LTC-USD,YES,
Bitcoin Cash,BCH,BCH-USD,YES,
Polygon,MATIC,MATIC-USD,YES,
Axie Infinity,AXS,NULL,YES,
Cosmos,ATOM,ATOM1-USD,NO,
Internet Computer,ICP,ICP1-USD,NO,
Filecoin,FIL,FIL-USD,NO,
Stellar,XLM,XLM-USD,YES,
Tezos,XTZ,XTZ-USD,NO,
VeChain,VET,VET-USD,YES,
Ethereum Classic,ETC,ETC-USD,YES,
Tron,TRX,TRX-USD,NO,
Hedera Hashgraph,HBAR,HBAR-USD,YES,
FTX Token,FTT,NULL,YES,
