Date,Adjusted,M1
1958-12-31,55.209999,138.9
1959-12-31,59.889999,140.0
1960-12-30,58.110001,141.1
1961-12-29,71.550003,145.2
1962-12-31,63.099998,148.3
1963-12-31,75.019997,153.7
1964-12-31,84.75,160.7
1965-12-31,92.43,169.1
1966-12-30,80.330002,171.9
1967-12-29,96.470001,184.3
1968-12-31,103.860001,198.7
1969-12-31,92.059998,206.2
1970-12-31,92.150002,215.5
1971-12-31,102.089996,230.1
1972-12-29,118.050003,251.5
1973-12-31,97.550003,263.8
1974-12-31,68.559998,273.9
1975-12-31,90.190002,288.4
1976-12-31,107.459999,308.3
1977-12-30,95.099998,334.4
1978-12-29,96.110001,358.6
1979-12-31,107.940002,385.8
1980-12-31,135.759995,411.3
1981-12-31,122.550003,442.7
1982-12-31,140.639999,477.2
1983-12-30,164.929993,525.1
1984-12-31,167.240005,557.0
1985-12-31,211.279999,621.4
1986-12-31,242.169998,730.2
1987-12-31,247.080002,756.2
1988-12-30,277.720001,785.7
1989-12-29,353.399994,795.4
1990-12-31,330.220001,827.2
1991-12-31,417.089996,910.4
1992-12-31,435.709991,1030.4
1993-12-31,466.450012,1131.6
1994-12-30,459.269989,1151.4
1995-12-29,615.929993,1123.5
1996-12-31,740.73999,1081.2
1997-12-31,970.429993,1074.0
1998-12-31,1229.22998,1098.1
1999-12-31,1469.25,1122.1
2000-12-29,1320.280029,1096.7
2001-12-31,1148.079956,1190.7
2002-12-31,879.820007,1227.3
2003-12-31,1111.920044,1306.0
2004-12-31,1211.920044,1367.1
2005-12-30,1248.290039,1379.5
2006-12-29,1418.300049,1371.7
2007-12-31,1468.359985,1377.7
2008-12-31,903.25,1582.8
2009-12-31,1115.099976,1674.7
2010-12-31,1257.640015,1846.3
2011-12-30,1257.599976,2201.8
2012-12-31,1426.189941,2475.5
2013-12-31,1848.359985,2698.9
2014-12-31,2058.899902,2941.3
2015-12-31,2043.939941,3096.9
2016-12-30,2238.830078,3391.2
2017-12-29,2673.610107,3656.2
2018-12-31,2506.850098,3754.8
2019-12-31,3230.780029,3993.6
2020-12-31,3756.070068,18106.9
2021-12-31,4766.180176,20585.5
